,mass,true_airspeed,altitude,ground_distance,fuel_mass,time,DISA,engine_setting,mach,equivalent_airspeed,CL,CD,drag,thrust_rate,EM_power_rate,TP_power_rate,thrust_is_regulated,psfc,thrust,TPshaft_power,thermo_power,TP_residual_thrust,slope_angle,acceleration,TP_thermal_efficiency,TP_air_flow,TP_total_pressure,TP_total_temperature,CT,name,ceiling,max_mach,delta_time
0,23539.268061443985,60.0,10.668,0.0,0.7438374906012237,60.0,0.0,1,0.17633868880182274,59.969279456360205,1.7493160767832265,0.11873868379921454,15668.866243681405,1.0,0.0,1.0,False,1.0338703303493353e-07,47548.04595411976,3597344.2160289474,3597344.2160289474,2530.2462759720142,0.13809994568359943,0.0,,,,,,,,,2.0
1,23538.524223953384,60.047616339570745,27.187367965067423,118.85752177306536,1.4868231019146685,62.0,0.0,1,0.17651153069432046,59.969279456360205,1.749260798646395,0.11873288264856806,15668.100718490867,1.0,0.0,1.0,False,1.032390577357734e-07,47527.76168718457,3598374.624916751,3598374.624916751,2530.152597378547,0.13801975230331837,0.0,,,,,,initial climb,,,2.0
2,23537.78123834207,60.09529855706879,43.71030659012996,237.81069496087719,2.2289562540193084,64.0,0.0,1,0.17668464399084904,59.969279456360205,1.7492055838168044,0.11872708832840237,15667.336094656883,1.0,0.0,1.0,False,1.0309158914978929e-07,47507.1759440333,3599387.4875007533,3599387.4875007533,2530.0427556524724,0.13793823888609122,0.0,,,,,,initial climb,,,2.0
3,23537.039105189968,60.143046328260354,60.23666160784763,356.85967321974886,2.97023639330404,66.0,0.0,1,0.17685802762814568,59.969279456360205,1.7491504323375529,0.11872130084259819,15666.572372691544,1.0,0.0,1.0,False,1.0294462803826302e-07,47486.28954878229,3600382.814580711,3600382.814580711,2529.91676562702,0.13785540888053902,0.0,,,,,,initial climb,,,2.0
4,23536.297825050682,60.19085932685001,76.76627866114521,476.0046095227425,3.7106629923495413,68.0,0.0,1,0.17703168053462914,59.969279456360205,1.7490953442497816,0.11871552019483092,15665.80955307986,1.0,0.0,1.0,False,1.0279817514208987e-07,47465.1033376032,3601360.6176474807,3601360.6176474807,2529.7746428025284,0.13777126578851356,0.0,,,,,,initial climb,,,2.0
5,23535.557398451638,60.23873722448889,93.29900330940396,595.245656154024,4.450235549808477,70.0,0.0,1,0.17720560163042112,59.969279456360205,1.749040319592685,0.11870974638857201,15665.047636279933,1.0,0.0,1.0,False,1.0265223118178811e-07,47443.6181586513,3602320.908881257,3602320.908881257,2529.616403344993,0.13768581316479223,0.0,,,,,,initial climb,,,2.0
6,23534.817825894177,60.28667969078287,109.83468103466024,714.5829647032391,5.188868553230239,72.0,0.0,1,0.17737978982736655,59.969279456360205,1.7489853584035202,0.1187039794270898,15664.286622723057,1.0,0.0,1.0,False,1.0250679685751035e-07,47416.83107321128,3602848.91375788,3603263.701149746,2529.1751655313624,0.13757737416535537,0.0,,,,,,initial climb,,,2.0
7,23534.079192890757,60.33467887263417,126.37056786693067,834.0170445934721,5.9264574412374165,74.0,0.0,1,0.17755421669673507,59.969279456360205,1.7489304670371302,0.1186982199765119,15663.526600312036,1.0,0.0,1.0,False,1.0236189549756197e-07,47383.60908779006,3602848.91375788,3604188.864513257,2528.3899765198516,0.13744103656815096,0.0,,,,,,initial climb,,,2.0
8,23533.341604002748,60.382725146718705,142.90332380436806,953.548470920479,6.663006257175512,76.0,0.0,1,0.17772884735375263,59.969279456360205,1.7488756532639702,0.11869246885140675,15662.767676538087,1.0,0.0,1.0,False,1.0221755526931781e-07,47350.33460866276,3602848.91375788,3605096.2483445583,2527.6009315798974,0.13730445210133202,0.0,,,,,,initial climb,,,2.0
9,23532.60505518681,60.43081844307951,159.4329059687792,1073.1773424275138,7.3985190379827905,78.0,0.0,1,0.17790368162023146,59.969279456360205,1.748820916783563,0.11868672601946839,15662.00984713807,1.0,0.0,1.0,False,1.0207377528358754e-07,47317.00762233731,3602848.91375788,3605985.891907,2526.808022643476,0.1371676207434429,0.0,,,,,,initial climb,,,2.0
